timestamp,intensity_g_per_kwh
2026-05-19T04:45:00,530.36
2026-05-19T04:50:00,525.18
2026-05-19T04:55:00,519.96
2026-05-19T05:00:00,514.70
2026-05-19T05:05:00,509.42
2026-05-19T05:10:00,504.11
2026-05-19T05:15:00,498.77
2026-05-19T05:20:00,493.41
2026-05-19T05:25:00,488.03
2026-05-19T05:30:00,482.63
2026-05-19T05:35:00,477.22
2026-05-19T05:40:00,471.79
2026-05-19T05:45:00,466.35
2026-05-19T05:50:00,460.90
2026-05-19T05:55:00,455.45
2026-05-19T06:00:00,450.00
2026-05-19T06:05:00,444.55
2026-05-19T06:10:00,439.10
2026-05-19T06:15:00,433.65
2026-05-19T06:20:00,428.21
2026-05-19T06:25:00,422.78
2026-05-19T06:30:00,417.37
2026-05-19T06:35:00,411.97
2026-05-19T06:40:00,406.59
2026-05-19T06:45:00,401.23
2026-05-19T06:50:00,395.89
2026-05-19T06:55:00,390.58
2026-05-19T07:00:00,385.30
2026-05-19T07:05:00,380.04
2026-05-19T07:10:00,374.82
2026-05-19T07:15:00,369.64
2026-05-19T07:20:00,364.49
2026-05-19T07:25:00,359.39
2026-05-19T07:30:00,354.33
2026-05-19T07:35:00,349.31
2026-05-19T07:40:00,344.35
2026-05-19T07:45:00,339.43
2026-05-19T07:50:00,334.56
2026-05-19T07:55:00,329.75
2026-05-19T08:00:00,325.00
2026-05-19T08:05:00,320.31
2026-05-19T08:10:00,315.68
2026-05-19T08:15:00,311.11
2026-05-19T08:20:00,306.61
2026-05-19T08:25:00,302.17
2026-05-19T08:30:00,297.81
2026-05-19T08:35:00,293.52
2026-05-19T08:40:00,289.30
2026-05-19T08:45:00,285.16
2026-05-19T08:50:00,281.10
2026-05-19T08:55:00,277.12
2026-05-19T09:00:00,273.22
2026-05-19T09:05:00,269.41
2026-05-19T09:10:00,265.68
2026-05-19T09:15:00,262.04
2026-05-19T09:20:00,258.49
2026-05-19T09:25:00,255.03
2026-05-19T09:30:00,251.66
2026-05-19T09:35:00,248.39
2026-05-19T09:40:00,245.21
2026-05-19T09:45:00,242.13
2026-05-19T09:50:00,239.15
2026-05-19T09:55:00,236.27
2026-05-19T10:00:00,233.49
2026-05-19T10:05:00,230.82
2026-05-19T10:10:00,228.25
2026-05-19T10:15:00,225.78
2026-05-19T10:20:00,223.42
2026-05-19T10:25:00,221.17
2026-05-19T10:30:00,219.03
2026-05-19T10:35:00,217.00
2026-05-19T10:40:00,215.08
2026-05-19T10:45:00,213.27
2026-05-19T10:50:00,211.57
2026-05-19T10:55:00,209.99
2026-05-19T11:00:00,208.52
2026-05-19T11:05:00,207.16
2026-05-19T11:10:00,205.93
2026-05-19T11:15:00,204.80
2026-05-19T11:20:00,203.80
2026-05-19T11:25:00,202.91
2026-05-19T11:30:00,202.14
2026-05-19T11:35:00,201.49
2026-05-19T11:40:00,200.95
2026-05-19T11:45:00,200.54
2026-05-19T11:50:00,200.24
2026-05-19T11:55:00,200.06
2026-05-19T12:00:00,200.00
2026-05-19T12:05:00,200.06
2026-05-19T12:10:00,200.24
2026-05-19T12:15:00,200.54
2026-05-19T12:20:00,200.95
2026-05-19T12:25:00,201.49
2026-05-19T12:30:00,202.14
2026-05-19T12:35:00,202.91
2026-05-19T12:40:00,203.80
2026-05-19T12:45:00,204.80
2026-05-19T12:50:00,205.93
2026-05-19T12:55:00,207.16
2026-05-19T13:00:00,208.52
2026-05-19T13:05:00,209.99
2026-05-19T13:10:00,211.57
2026-05-19T13:15:00,213.27
2026-05-19T13:20:00,215.08
2026-05-19T13:25:00,217.00
2026-05-19T13:30:00,219.03
2026-05-19T13:35:00,221.17
2026-05-19T13:40:00,223.42
2026-05-19T13:45:00,225.78
2026-05-19T13:50:00,228.25
2026-05-19T13:55:00,230.82
2026-05-19T14:00:00,233.49
2026-05-19T14:05:00,236.27
2026-05-19T14:10:00,239.15
2026-05-19T14:15:00,242.13
2026-05-19T14:20:00,245.21
2026-05-19T14:25:00,248.39
2026-05-19T14:30:00,251.66
2026-05-19T14:35:00,255.03
2026-05-19T14:40:00,258.49
2026-05-19T14:45:00,262.04
2026-05-19T14:50:00,265.68
2026-05-19T14:55:00,269.41
2026-05-19T15:00:00,273.22
2026-05-19T15:05:00,277.12
2026-05-19T15:10:00,281.10
2026-05-19T15:15:00,285.16
2026-05-19T15:20:00,289.30
2026-05-19T15:25:00,293.52
2026-05-19T15:30:00,297.81
2026-05-19T15:35:00,302.17
2026-05-19T15:40:00,306.61
2026-05-19T15:45:00,311.11
2026-05-19T15:50:00,315.68
2026-05-19T15:55:00,320.31
2026-05-19T16:00:00,325.00
2026-05-19T16:05:00,329.75
2026-05-19T16:10:00,334.56
2026-05-19T16:15:00,339.43
2026-05-19T16:20:00,344.35
2026-05-19T16:25:00,349.31
2026-05-19T16:30:00,354.33
2026-05-19T16:35:00,359.39
2026-05-19T16:40:00,364.49
2026-05-19T16:45:00,369.64
2026-05-19T16:50:00,374.82
2026-05-19T16:55:00,380.04
2026-05-19T17:00:00,385.30
2026-05-19T17:05:00,390.58
2026-05-19T17:10:00,395.89
2026-05-19T17:15:00,401.23
2026-05-19T17:20:00,406.59
2026-05-19T17:25:00,411.97
2026-05-19T17:30:00,417.37
2026-05-19T17:35:00,422.78
2026-05-19T17:40:00,428.21
2026-05-19T17:45:00,433.65
2026-05-19T17:50:00,439.10
2026-05-19T17:55:00,444.55
2026-05-19T18:00:00,450.00
2026-05-19T18:05:00,455.45
2026-05-19T18:10:00,460.90
2026-05-19T18:15:00,466.35
2026-05-19T18:20:00,471.79
2026-05-19T18:25:00,477.22
2026-05-19T18:30:00,482.63
2026-05-19T18:35:00,488.03
2026-05-19T18:40:00,493.41
2026-05-19T18:45:00,498.77
2026-05-19T18:50:00,504.11
2026-05-19T18:55:00,509.42
2026-05-19T19:00:00,514.70
2026-05-19T19:05:00,519.96
2026-05-19T19:10:00,525.18
2026-05-19T19:15:00,530.36
2026-05-19T19:20:00,535.51
2026-05-19T19:25:00,540.61
2026-05-19T19:30:00,545.67
2026-05-19T19:35:00,550.69
2026-05-19T19:40:00,555.65
2026-05-19T19:45:00,560.57
2026-05-19T19:50:00,565.44
2026-05-19T19:55:00,570.25
2026-05-19T20:00:00,575.00
2026-05-19T20:05:00,579.69
2026-05-19T20:10:00,584.32
2026-05-19T20:15:00,588.89
2026-05-19T20:20:00,593.39
2026-05-19T20:25:00,597.83
2026-05-19T20:30:00,602.19
2026-05-19T20:35:00,606.48
2026-05-19T20:40:00,610.70
2026-05-19T20:45:00,614.84
2026-05-19T20:50:00,618.90
2026-05-19T20:55:00,622.88
2026-05-19T21:00:00,626.78
2026-05-19T21:05:00,630.59
2026-05-19T21:10:00,634.32
2026-05-19T21:15:00,637.96
2026-05-19T21:20:00,641.51
2026-05-19T21:25:00,644.97
2026-05-19T21:30:00,648.34
2026-05-19T21:35:00,651.61
2026-05-19T21:40:00,654.79
2026-05-19T21:45:00,657.87
2026-05-19T21:50:00,660.85
2026-05-19T21:55:00,663.73
2026-05-19T22:00:00,666.51
2026-05-19T22:05:00,669.18
2026-05-19T22:10:00,671.75
2026-05-19T22:15:00,674.22
2026-05-19T22:20:00,676.58
2026-05-19T22:25:00,678.83
2026-05-19T22:30:00,680.97
2026-05-19T22:35:00,683.00
2026-05-19T22:40:00,684.92
2026-05-19T22:45:00,686.73
2026-05-19T22:50:00,688.43
2026-05-19T22:55:00,690.01
2026-05-19T23:00:00,691.48
2026-05-19T23:05:00,692.84
2026-05-19T23:10:00,694.07
2026-05-19T23:15:00,695.20
2026-05-19T23:20:00,696.20
2026-05-19T23:25:00,697.09
2026-05-19T23:30:00,697.86
2026-05-19T23:35:00,698.51
2026-05-19T23:40:00,699.05
2026-05-19T23:45:00,699.46
2026-05-19T23:50:00,699.76
2026-05-19T23:55:00,699.94
2026-05-20T00:00:00,700.00
